Pest\Pesticide,Abamectin,Acephate,Acetamiprid,Azadirachtin,Bacillus thuringiensis,Bifenazate,Bifenthrin,Buprofezin,Carbaryl,Carbofuran,Cartap,Cartap hydrochloride,Chlorantraniliprole,Chlorfenapyr,Chlorpyrifos,Clothianidin,Cyfluthrin,Cypermethrin,Deltamethrin,Diazinon,Dimethoate,Dinotefuran,Emamectin benzoate,Fenazaquin,Fenitrothion,Fenpropathrin,Fenpyroximate,Fenthion,Fipronil,Flubendiamide,Hexythiazox,Imidacloprid,Indoxacarb,Lambda-cyhalothrin,Malathion,Methomyl,Methoxyfenozide,Permethrin,Phorate,Pyrethrin,Pyridaben,Spinosad,Spiromesifen,Spirodiclofen,Spirotetramat,Thiacloprid,Thiamethoxam
beetle,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
bird cherry-oataphid,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1
black cutworm,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
Black hairy,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
blister beetle,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,
bollworm,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,
Brevipoalpus lewisi McGregor,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,
brown plant hopper,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
cabbage army worm,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
cerodonta denticornis,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,1
Ceroplastes rubens,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Chlumetia transversa,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Chrysomphalus aonidum,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Cicadella viridis,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,1
Cicadellidae,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,1
Colomerus vitis,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
corn borer,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,
corn earworm,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cutworm,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Dacus dorsalis(Hendel),,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,
Dasineura sp,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Deporaus marginatus Pascoe,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
english grain aphid,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,
Erythroneura apicalis,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
fall armyworm,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Field Cricket,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
flax budworm,,,,,,,1,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,
flea beetle,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,1
Fruit piercing moth,,,,,,,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,
Gall fly,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
grain spreader thrips,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
grasshopper,,,,,,,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,
green bug,,,,,,,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,
grub,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Icerya purchasi Maskell,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Indigo caterpillar,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Jute aphid,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Jute hairy,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
Jute red mite,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
Jute semilooper,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
Jute stem girdler,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Jute Stem Weevil,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Jute stick insect,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
large cutworm,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Lawana imitata Melichar,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Leaf beetle,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
legume blister beetle,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Limacodidae,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locust,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Locustoidea,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
longlegged spider mite,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycorma delicatula,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1
lytta polita,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Mango flat beak leafhopper,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1
meadow moth,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Mealybug,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Miridae,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
mites,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mole cricket,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Nipaecoccus vastalor,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
odontothrips loti,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,
oides decempunctata,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
paddy stem maggot,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panonchus citri McGregor,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
Papilio xuthus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
parathrene regalis,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Parlatoria zizyphus Lucus,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
peach borer,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
penthaleus major,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
Phyllocnistis citrella Stainton,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,
Phyllocoptes oleiverus ashmead,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Pieris canidia,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pod borer,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,
Polyphagotars onemus latus,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Potosiabre vitarsis,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,
Prodenia litura,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,
Pseudococcus comstocki Kuwana,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
red spider,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Rhytidodera bowrinii white,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,
rice gall midge,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
rice leaf caterpillar,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
rice leaf roller,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
rice leafhopper,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
rice shell pest,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Rice Stemfly,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,1
rice water weevil,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Salurnis marginella Guerr,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
sawfly,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Scirtothrips dorsalis Hood,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,
sericaorient alismots chulsky,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
small brown plant hopper,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Spilosoma Obliqua,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stem borer,,,1,,,,1,,,,,,,1,,1,1,1,,,,1,,,,,,,,,,1,,1,,,,1,,,,,,,,,1
Sternochetus frigidus,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
tarnished plant bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,
Termite,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
Termite odontotermes (Rambur),,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
Tetradacus c Bactrocera minax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,
therioaphis maculata Buckton,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Thrips,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Toxoptera aurantii,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Toxoptera citricidus,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Trialeurodes vaporariorum,,,1,,,,1,,,,,,,,,1,1,1,,,,1,,,,,,,,,,1,,1,,,,1,,,,,,,,,1
Unaspis yanonensis,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Viteus vitifoliae,,1,1,,,,1,,,,,,,,,1,1,1,,,1,1,,,,,,,,,,1,,1,1,,,1,,,,,,,,,1
wheat blossom midge,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
wheat phloeothrips,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
wheat sawfly,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
white backed plant hopper,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
white margined moth,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
whitefly,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,1
wireworm,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,
Xylotrechus,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
yellow cutworm,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Yellow Mite,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,
yellow rice borer,,,1,,,,,,,,,,,,1,1,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,1
