Pesticide,number_targeted_pests,number_normalized,price_oz,perc_act,oz_5acres,price_5acres,price_norm,seen_on,evmt_score_animals,evmt_score_pollution,effectiveness_score,human_health,source_evmt_eff,data_eff_research,source_eff_add
Chlorantraniliprole,9,0.138461538,5.61,18.4,34,190.74,0.14995283,DoMyOwn.com,1.5,1.5,1,0.5,UC IPM / PPDB,-2,"Kumar, S., & Pandey, A. K. (2022). Bio-efficacy of various insecticides against white grubs (coleoptera: Scarabaeidae) infesting sugarcane. International Journal of Tropical Insect Science, 42(5), 3319-3325. https://doi.org/10.1007/s42690-022-00820-8"
Chlorfenapyr,5,0.076923077,4.24,21.45,300,1272,1,DoMyOwn.com,2,1,2,2,PPDB,1,"Agumba, S., Gimnig, J. E., Ogonda, L., Ombok, M., Kosgei, J., Munga, S., Guyah, B., Omondi, S., & Ochomo, E. (2019). Diagnostic dose determination and efficacy of chlorfenapyr and clothianidin insecticides against anopheles malaria vector populations of western kenya. Malaria Journal, 18(1), 243-243. https://doi.org/10.1186/s12936-019-2858-z"
Chlorpyrifos,54,0.830769231,0.168,2.5,3484,585.312,0.460150943,DoMyOwn.com,2,1,1,1.5,PPDB,2,"Kumar, S., & Pandey, A. K. (2022). Bio-efficacy of various insecticides against white grubs (coleoptera: Scarabaeidae) infesting sugarcane. International Journal of Tropical Insect Science, 42(5), 3319-3325. https://doi.org/10.1007/s42690-022-00820-8

Leskey, T. C., Lee, D., Short, B. D., & Wright, S. E. (2012). Impact of insecticides on the invasive halyomorpha halys (hemiptera: Pentatomidae): Analysis of insecticide lethality. Journal of Economic Entomology, 105(5), 1726-1735. https://doi.org/10.1603/EC12096"
Clothianidin,9,0.138461538,0.282,0.25,2560,721.92,0.56754717,DoMyOwn.com,2,1.5,2,2,BPDB / UC IPM / PPDB,1,"Kumar, S., & Pandey, A. K. (2022). Bio-efficacy of various insecticides against white grubs (coleoptera: Scarabaeidae) infesting sugarcane. International Journal of Tropical Insect Science, 42(5), 3319-3325. https://doi.org/10.1007/s42690-022-00820-8"
Cyfluthrin,3,0.046153846,3.11,6,12,37.32,0.029339623,DoMyOwn.com,2,0.5,2,2,UC IPM / PPDB,0,"Leskey, T. C., Lee, D., Short, B. D., & Wright, S. E. (2012). Impact of insecticides on the invasive halyomorpha halys (hemiptera: Pentatomidae): Analysis of insecticide lethality. Journal of Economic Entomology, 105(5), 1726-1735. https://doi.org/10.1603/EC12096"
Cypermethrin,7,0.107692308,2.16,25.3,100,216,0.169811321,DoMyOwn.com,2,1.5,2,1.5,UC IPM / PPDB,0,NA
Diazinon,6,0.092307692,-1,-1,-1,-1,-1,NA,2,1,0.5,2,PPDB,1,"Mihretie, A., Yimer, D., Wudu, E., & Kassaw, A. (2020). Efficacy of insecticides against african bollworm (helicoverpa armigera hubner) on chickpea (cicer arietinum) in the lowlands of wollo, northeastern ethiopia. Cogent Food & Agriculture, 6(1), 1833818. 
https://doi.org/10.1080/23311932.2020.1833818"
Dimethoate,4,0.061538462,-1,-1,-1,-1,-1,NA,2,2,2,2,PPDB,0,"Leskey, T. C., Lee, D., Short, B. D., & Wright, S. E. (2012). Impact of insecticides on the invasive halyomorpha halys (hemiptera: Pentatomidae): Analysis of insecticide lethality. Journal of Economic Entomology, 105(5), 1726-1735. https://doi.org/10.1603/EC12096"
Dinotefuran,13,0.2,10.37,20,6,62.22,0.048915094,DoMyOwn.com,2,1.5,1.5,0.5,UC IPM / PPDB,0,"Leskey, T. C., Lee, D., Short, B. D., & Wright, S. E. (2012). Impact of insecticides on the invasive halyomorpha halys (hemiptera: Pentatomidae): Analysis of insecticide lethality. Journal of Economic Entomology, 105(5), 1726-1735. https://doi.org/10.1603/EC12096"
Emamectin benzoate,11,0.169230769,-1,-1,-1,-1,-1,NA,1.5,0.5,0.5,2,BPDB / UC IPM,1,"Kumar, S., & Pandey, A. K. (2022). Bio-efficacy of various insecticides against white grubs (coleoptera: Scarabaeidae) infesting sugarcane. International Journal of Tropical Insect Science, 42(5), 3319-3325. https://doi.org/10.1007/s42690-022-00820-8"
Fipronil,8,0.123076923,5.39,0.65,50,269.5,0.211871069,DoMyOwn.com,2,1.5,1.5,1.5,UC IPM / PPDB,0,"Kumar, S., & Pandey, A. K. (2022). Bio-efficacy of various insecticides against white grubs (coleoptera: Scarabaeidae) infesting sugarcane. International Journal of Tropical Insect Science, 42(5), 3319-3325. https://doi.org/10.1007/s42690-022-00820-8"
Imidacloprid,65,1,0.83,21.8,131,108.73,0.08547956,DoMyOwn.com,2,1.5,1.5,1.5,BPDB / UC IPM / PPDB,0,"Kumar, S., & Pandey, A. K. (2022). Bio-efficacy of various insecticides against white grubs (coleoptera: Scarabaeidae) infesting sugarcane. International Journal of Tropical Insect Science, 42(5), 3319-3325. https://doi.org/10.1007/s42690-022-00820-8

Leskey, T. C., Lee, D., Short, B. D., & Wright, S. E. (2012). Impact of insecticides on the invasive halyomorpha halys (hemiptera: Pentatomidae): Analysis of insecticide lethality. Journal of Economic Entomology, 105(5), 1726-1735. https://doi.org/10.1603/EC12096"
Indoxacarb,4,0.061538462,1.49,0.04,24,35.76,0.028113208,DoMyOwn.com,2,1,1,2,PPDB,1,"Mihretie, A., Yimer, D., Wudu, E., & Kassaw, A. (2020). Efficacy of insecticides against african bollworm (helicoverpa armigera hubner) on chickpea (cicer arietinum) in the lowlands of wollo, northeastern ethiopia. Cogent Food & Agriculture, 6(1), 1833818. 
https://doi.org/10.1080/23311932.2020.1833818"
Lambda-cyhalothrin,14,0.215384615,2.52,9.7,60,151.2,0.118867925,DoMyOwn.com,2,1.5,2,1.5,UC IPM / PPDB,0,"Leskey, T. C., Lee, D., Short, B. D., & Wright, S. E. (2012). Impact of insecticides on the invasive halyomorpha halys (hemiptera: Pentatomidae): Analysis of insecticide lethality. Journal of Economic Entomology, 105(5), 1726-1735. https://doi.org/10.1603/EC12096"
Malathion,14,0.215384615,1.12,55,25,28,0.022012579,DoMyOwn.com,2,1,1.5,1.5,UC IPM / PPDB,0,"Leskey, T. C., Lee, D., Short, B. D., & Wright, S. E. (2012). Impact of insecticides on the invasive halyomorpha halys (hemiptera: Pentatomidae): Analysis of insecticide lethality. Journal of Economic Entomology, 105(5), 1726-1735. https://doi.org/10.1603/EC12096"
Methomyl,11,0.169230769,-1,-1,-1,-1,-1,NA,2,2,2,2,PPDB,1,"Leskey, T. C., Lee, D., Short, B. D., & Wright, S. E. (2012). Impact of insecticides on the invasive halyomorpha halys (hemiptera: Pentatomidae): Analysis of insecticide lethality. Journal of Economic Entomology, 105(5), 1726-1735. https://doi.org/10.1603/EC12096"
Methoxyfenozide,3,0.046153846,3.41,28.3,40,136.4,0.107232704,DoMyOwn.com,1,2,2,1,PPDB,0,NA
Permethrin,4,0.061538462,1.34,36.8,320,428.8,0.337106918,DoMyOwn.com,2,2,1.5,1.5,UC IPM / PPDB,0,NA
Spinosad,17,0.261538462,1.25,0.5,400,500,0.393081761,DoMyOwn.com,1,1.5,1,0.5,BPDB / UC IPM,2,"Mihretie, A., Yimer, D., Wudu, E., & Kassaw, A. (2020). Efficacy of insecticides against african bollworm (helicoverpa armigera hubner) on chickpea (cicer arietinum) in the lowlands of wollo, northeastern ethiopia. Cogent Food & Agriculture, 6(1), 1833818. 
https://doi.org/10.1080/23311932.2020.1833818"
Spiromesifen,6,0.092307692,40,45.2,3,120,0.094339623,DoMyOwn.com,1,2,2,1,PPDB,1,"Liu, T. (2004). Toxicity and efficacy of spiromesifen, a tetronic acid insecticide, against sweetpotato whitefly (homoptera: Aleyrodidae) on melons and collards. Crop Protection, 23(6), 505-513. https://doi.org/10.1016/j.cropro.2003.10.006

Bi, J. L., & Toscano, N. C. (2007). Efficacy of spiromesifen against greenhouse whitefly (homoptera: Aleyrodidae) on strawberry. Hortscience, 42(2), 285-288. https://doi.org/10.21273/hortsci.42.2.285"
Thiacloprid,5,0.076923077,-1,-1,-1,-1,-1,NA,2,1,2,2,PPDB,0,NA
Thiamethoxam,28,0.430769231,3.59,11.6,110,394.9,0.310455975,DoMyOwn.com,2,1.5,1.5,0.5,UC IPM / PPDB,0,"Kumar, S., & Pandey, A. K. (2022). Bio-efficacy of various insecticides against white grubs (coleoptera: Scarabaeidae) infesting sugarcane. International Journal of Tropical Insect Science, 42(5), 3319-3325. https://doi.org/10.1007/s42690-022-00820-8"
